Id_Transaksi,Nama_Pembeli,Id_Kategori,Kategori,Sub _Kategori,Id_Alamat,Kota,Tanggal_Transaksi,Wilayah,Sales,Discount,Profit,Negara
OD55,Esther,55,Fruits & Veggies,Organic Fruits,55,Nagercoil,12/11/2017,East,760,0.28,60.8,Tamil Nadu
OD56,Muneer,56,Food Grains,Atta & Flour,56,Salem,6/17/2017,East,2350,0.15,611,Tamil Nadu
OD57,Komal,57,"Eggs, Meat & Fish",Fish,57,Krishnagiri,6/17/2017,East,1179,0.34,271.17,Tamil Nadu
OD58,Veena,58,Food Grains,Dals & Pulses,58,Trichy,6/17/2017,East,1624,0.35,194.88,Tamil Nadu
OD59,Sharon,59,"Eggs, Meat & Fish",Mutton,59,Trichy,6/17/2017,East,1316,0.35,421.12,Tamil Nadu
OD60,Shree,60,Beverages,Health Drinks,60,Coimbatore,6/17/2017,East,2121,0.12,678.72,Tamil Nadu
OD61,Roshan,61,Oil & Masala,Masalas,61,Virudhunagar,6/17/2017,East,1428,0.28,271.32,Tamil Nadu
OD62,Willams,62,Snacks,Noodles,62,Perambalur,6/17/2017,East,706,0.33,289.46,Tamil Nadu
OD63,Sudeep,63,"Eggs, Meat & Fish",Fish,63,Dharmapuri,11/24/2016,West,921,0.25,184.2,Tamil Nadu
OD64,Yusuf,64,Fruits & Veggies,Fresh Fruits,64,Trichy,11/24/2016,West,1741,0.31,661.58,Tamil Nadu
OD65,Willams,65,"Eggs, Meat & Fish",Eggs,65,Madurai,11/24/2016,West,607,0.22,200.31,Tamil Nadu
OD66,Muneer,66,"Eggs, Meat & Fish",Mutton,66,Tirunelveli,11/24/2016,West,1824,0.25,766.08,Tamil Nadu
OD67,Vinne,67,Food Grains,Atta & Flour,67,Madurai,4/30/2016,Central,1368,0.11,383.04,Tamil Nadu
OD68,Roshan,68,Fruits & Veggies,Fresh Vegetables,68,Pudukottai,12/5/2015,West,1160,0.16,510.4,Tamil Nadu
OD69,Ramesh,69,Food Grains,Atta & Flour,69,Viluppuram,12/5/2015,West,1294,0.23,77.64,Tamil Nadu
OD70,Peer,70,Oil & Masala,Masalas,70,Ooty,6/4/2017,South,1232,0.14,554.4,Tamil Nadu
OD71,Verma,71,"Eggs, Meat & Fish",Mutton,71,Kanyakumari,9/18/2017,East,994,0.31,357.84,Tamil Nadu
OD72,Yusuf,72,Snacks,Noodles,72,Kanyakumari,9/14/2018,Central,2468,0.18,1011.88,Tamil Nadu
OD73,Alan,73,Snacks,Cookies,73,Theni,4/26/2016,South,721,0.27,100.94,Tamil Nadu
OD74,Vidya,74,Fruits & Veggies,Organic Vegetables,74,Vellore,4/26/2016,South,2375,0.21,475,Tamil Nadu
OD75,Arvind,75,Beverages,Soft Drinks,75,Vellore,4/26/2016,South,1965,0.13,117.9,Tamil Nadu
OD76,Veronica,76,Beverages,Soft Drinks,76,Bodi,12/9/2018,Central,1489,0.12,193.57,Tamil Nadu
OD77,Arvind,77,Fruits & Veggies,Organic Fruits,77,Ooty,12/9/2018,Central,1250,0.27,75,Tamil Nadu
OD78,Anu,78,Snacks,Noodles,78,Coimbatore,12/9/2018,Central,1358,0.31,488.88,Tamil Nadu
OD79,Haseena,79,Snacks,Cookies,79,Vellore,11/26/2015,Central,719,0.2,64.71,Tamil Nadu
OD80,Veena,80,Fruits & Veggies,Organic Fruits,80,Chennai,6/12/2017,South,2303,0.26,621.81,Tamil Nadu
OD81,Kumar,81,Beverages,Health Drinks,81,Kanyakumari,6/12/2017,South,2027,0.34,912.15,Tamil Nadu
OD82,Amy,82,Food Grains,Atta & Flour,82,Bodi,10/12/2015,West,1739,0.29,765.16,Tamil Nadu
OD83,Komal,83,Oil & Masala,Spices,83,Cumbum,10/12/2015,West,990,0.26,227.7,Tamil Nadu
OD84,Ravi,84,Beverages,Soft Drinks,84,Dharmapuri,9/3/2016,South,2354,0.11,682.66,Tamil Nadu
OD85,Amy,85,Fruits & Veggies,Organic Fruits,85,Bodi,11/13/2018,Central,1044,0.1,344.52,Tamil Nadu
OD86,Willams,86,Oil & Masala,Spices,86,Dindigul,5/28/2018,South,2129,0.25,659.99,Tamil Nadu
OD87,Sharon,87,Food Grains,Rice,87,Theni,10/26/2018,Central,1759,0.1,615.65,Tamil Nadu
OD88,Ramesh,88,"Eggs, Meat & Fish",Eggs,88,Viluppuram,10/26/2018,Central,1663,0.26,665.2,Tamil Nadu
OD89,Sheeba,89,Bakery,Breads & Buns,89,Perambalur,4/5/2017,Central,2111,0.21,189.99,Tamil Nadu
OD90,Krithika,90,Food Grains,Dals & Pulses,90,Madurai,9/17/2017,West,1878,0.12,450.72,Tamil Nadu
OD91,Willams,91,"Eggs, Meat & Fish",Chicken,91,Ooty,9/17/2017,West,769,0.34,46.14,Tamil Nadu
OD92,Roshan,92,Beverages,Health Drinks,92,Virudhunagar,9/17/2017,West,1241,0.14,409.53,Tamil Nadu
OD93,Ravi,93,Food Grains,Atta & Flour,93,Madurai,1/31/2016,Central,2128,0.14,383.04,Tamil Nadu
OD94,Ram,94,Fruits & Veggies,Fresh Fruits,94,Namakkal,1/31/2016,Central,2257,0.33,270.84,Tamil Nadu
OD95,Mathew,95,Snacks,Chocolates,95,Bodi,1/31/2016,Central,1285,0.28,218.45,Tamil Nadu
OD96,Veena,96,"Eggs, Meat & Fish",Fish,96,Virudhunagar,11/6/2018,West,1230,0.13,442.8,Tamil Nadu
OD97,Sudha,97,Food Grains,Atta & Flour,97,Ooty,11/9/2018,East,1856,0.21,723.84,Tamil Nadu
OD98,Sharon,98,Fruits & Veggies,Fresh Fruits,98,Trichy,6/17/2018,West,545,0.31,125.35,Tamil Nadu
OD99,Vince,99,Snacks,Chocolates,99,Dharmapuri,9/6/2017,Central,2301,0.28,391.17,Tamil Nadu
OD100,Krithika,100,Oil & Masala,Spices,100,Chennai,8/29/2017,Central,1475,0.26,531,Tamil Nadu
OD101,Adavan,101,Bakery,Cakes,101,Coimbatore,8/29/2017,Central,2118,0.35,910.74,Tamil Nadu
OD102,Roshan,102,Beverages,Soft Drinks,102,Coimbatore,8/29/2017,Central,1527,0.17,671.88,Tamil Nadu
OD103,Vinne,103,Snacks,Chocolates,103,Nagercoil,12/1/2017,Central,567,0.18,175.77,Tamil Nadu
OD104,Amy,104,Fruits & Veggies,Fresh Fruits,104,Ramanadhapuram,11/13/2016,West,969,0.27,184.11,Tamil Nadu
OD105,Suresh,105,Food Grains,Dals & Pulses,105,Karur,11/13/2016,West,2300,0.14,1035,Tamil Nadu
OD106,Komal,106,Oil & Masala,Masalas,106,Kanyakumari,11/13/2016,West,1575,0.33,78.75,Tamil Nadu
OD107,Sundar,107,Beverages,Health Drinks,107,Cumbum,11/23/2018,South,540,0.12,108,Tamil Nadu
OD108,Willams,108,Snacks,Cookies,108,Tirunelveli,11/23/2018,South,536,0.34,176.88,Tamil Nadu
OD109,Vidya,109,"Eggs, Meat & Fish",Eggs,109,Tirunelveli,11/23/2018,South,556,0.21,155.68,Tamil Nadu
OD110,Shree,110,Fruits & Veggies,Fresh Fruits,110,Coimbatore,10/15/2016,Central,1179,0.16,271.17,Tamil Nadu
OD111,Sundar,111,Food Grains,Dals & Pulses,111,Namakkal,12/25/2018,East,1487,0.12,505.58,Tamil Nadu
OD112,Arvind,112,Bakery,Breads & Buns,112,Pudukottai,11/3/2017,Central,2220,0.1,111,Tamil Nadu
OD113,Ravi,113,Oil & Masala,Edible Oil & Ghee,113,Dindigul,11/3/2017,Central,2155,0.3,581.85,Tamil Nadu
OD114,Vinne,114,Fruits & Veggies,Fresh Vegetables,114,Krishnagiri,8/25/2015,East,1154,0.1,69.24,Tamil Nadu
OD115,Muneer,115,Snacks,Noodles,115,Salem,8/25/2015,East,2420,0.11,242,Tamil Nadu
OD116,Rumaiza,116,Snacks,Chocolates,116,Karur,8/25/2015,East,1305,0.24,287.1,Tamil Nadu
OD117,Hussain,117,Fruits & Veggies,Organic Fruits,117,Bodi,8/25/2015,East,927,0.2,157.59,Tamil Nadu
OD118,Arvind,118,Fruits & Veggies,Organic Vegetables,118,Viluppuram,3/2/2016,West,983,0.11,186.77,Tamil Nadu
OD119,Akash,119,Food Grains,Rice,119,Chennai,4/5/2016,South,903,0.1,90.3,Tamil Nadu
OD120,Ganesh,120,"Eggs, Meat & Fish",Chicken,120,Cumbum,6/12/2017,East,1235,0.12,74.1,Tamil Nadu
OD121,Alan,121,Fruits & Veggies,Organic Vegetables,121,Tirunelveli,6/12/2017,East,1243,0.24,174.02,Tamil Nadu
OD122,Harish,122,Bakery,Cakes,122,Krishnagiri,6/12/2017,East,649,0.34,201.19,Tamil Nadu
OD123,Veronica,123,"Eggs, Meat & Fish",Mutton,123,Tenkasi,6/12/2017,East,2354,0.11,188.32,Tamil Nadu
OD124,Anu,124,Beverages,Soft Drinks,124,Cumbum,6/12/2017,East,1443,0.27,187.59,Tamil Nadu
OD125,Sudeep,125,Bakery,Breads & Buns,125,Madurai,12/26/2015,Central,975,0.26,390,Tamil Nadu
OD126,Yusuf,126,Fruits & Veggies,Organic Vegetables,126,Virudhunagar,9/20/2015,Central,889,0.19,71.12,Tamil Nadu
OD127,Shah,127,"Eggs, Meat & Fish",Mutton,127,Karur,11/5/2018,West,2352,0.17,870.24,Tamil Nadu
OD128,Harish,128,Oil & Masala,Spices,128,Tirunelveli,11/5/2018,West,1293,0.23,336.18,Tamil Nadu
OD129,Sharon,129,Food Grains,Rice,129,Bodi,11/6/2017,West,1458,0.29,597.78,Tamil Nadu
OD130,Peer,130,Food Grains,Atta & Flour,130,Coimbatore,11/6/2017,West,1801,0.22,126.07,Tamil Nadu
OD131,Haseena,131,Snacks,Chocolates,131,Tenkasi,2/2/2018,East,1261,0.29,416.13,Tamil Nadu
OD132,Sundar,132,Beverages,Soft Drinks,132,Nagercoil,2/2/2018,East,2112,0.28,105.6,Tamil Nadu
OD133,Ram,133,"Eggs, Meat & Fish",Fish,133,Ramanadhapuram,2/2/2018,East,640,0.24,140.8,Tamil Nadu
OD134,Shah,134,Bakery,Cakes,134,Tenkasi,10/13/2017,West,1658,0.12,315.02,Tamil Nadu
OD135,Harish,135,Beverages,Health Drinks,135,Ramanadhapuram,10/13/2017,West,2373,0.18,664.44,Tamil Nadu
OD136,Veena,136,Fruits & Veggies,Organic Fruits,136,Cumbum,10/13/2017,West,1430,0.19,514.8,Tamil Nadu
OD137,Sundar,137,Oil & Masala,Spices,137,Viluppuram,10/13/2017,West,1873,0.3,674.28,Tamil Nadu
OD138,Jackson,138,"Eggs, Meat & Fish",Eggs,138,Theni,10/13/2017,West,867,0.14,329.46,Tamil Nadu
OD139,Malik,139,Snacks,Noodles,139,Theni,10/13/2017,West,1101,0.19,484.44,Tamil Nadu
OD140,Hussain,140,"Eggs, Meat & Fish",Mutton,140,Ooty,10/13/2017,West,1088,0.28,424.32,Tamil Nadu
OD141,Veena,141,Bakery,Biscuits,141,Perambalur,9/5/2017,East,866,0.32,381.04,Tamil Nadu
OD142,Aditi,142,Oil & Masala,Masalas,142,Tirunelveli,9/18/2018,West,2483,0.14,223.47,Tamil Nadu
OD143,Surya,143,Food Grains,Atta & Flour,143,Kanyakumari,9/18/2018,West,1335,0.11,293.7,Tamil Nadu
OD144,Sharon,144,"Eggs, Meat & Fish",Fish,144,Tenkasi,9/18/2018,West,765,0.24,252.45,Tamil Nadu
OD145,Vinne,145,"Eggs, Meat & Fish",Mutton,145,Tenkasi,12/22/2018,Central,2403,0.2,624.78,Tamil Nadu
OD146,Malik,146,Oil & Masala,Edible Oil & Ghee,146,Coimbatore,9/7/2016,West,1551,0.13,573.87,Tamil Nadu
OD147,Ridhesh,147,Food Grains,Organic Staples,147,Theni,10/22/2015,East,1564,0.27,187.68,Tamil Nadu
OD148,Harish,148,Fruits & Veggies,Fresh Vegetables,148,Tirunelveli,12/5/2017,Central,1125,0.33,292.5,Tamil Nadu
OD149,Veronica,149,Beverages,Health Drinks,149,Tenkasi,12/5/2017,Central,768,0.1,184.32,Tamil Nadu
OD150,Ravi,150,"Eggs, Meat & Fish",Fish,150,Vellore,12/5/2017,Central,1985,0.26,734.45,Tamil Nadu
OD151,Muneer,151,Food Grains,Rice,151,Bodi,12/5/2017,Central,2287,0.13,1029.15,Tamil Nadu
OD152,Jackson,152,Snacks,Chocolates,152,Pudukottai,3/13/2017,West,1016,0.34,335.28,Tamil Nadu
OD153,Amy,153,Snacks,Cookies,153,Namakkal,3/13/2017,West,852,0.26,76.68,Tamil Nadu
OD154,Ram,154,Food Grains,Organic Staples,154,Ramanadhapuram,5/31/2016,West,1233,0.28,234.27,Tamil Nadu
OD155,Jonas,155,Snacks,Noodles,155,Pudukottai,5/31/2016,West,2236,0.14,626.08,Tamil Nadu
OD156,Ramesh,156,Fruits & Veggies,Fresh Vegetables,156,Viluppuram,5/31/2016,West,2188,0.32,809.56,Tamil Nadu
OD157,Peer,157,Snacks,Cookies,157,Coimbatore,5/28/2016,West,1114,0.2,456.74,Tamil Nadu
OD158,Komal,158,Oil & Masala,Edible Oil & Ghee,158,Salem,3/1/2015,West,1774,0.15,620.9,Tamil Nadu
OD159,Amy,159,Beverages,Soft Drinks,159,Karur,11/20/2017,Central,2364,0.21,1040.16,Tamil Nadu
OD160,Amrish,160,Food Grains,Dals & Pulses,160,Madurai,11/20/2017,Central,1487,0.11,148.7,Tamil Nadu
OD161,Yadav,161,Beverages,Soft Drinks,161,Ooty,5/11/2017,West,713,0.3,192.51,Tamil Nadu
OD162,Vinne,162,"Eggs, Meat & Fish",Fish,162,Kanyakumari,12/28/2016,East,737,0.2,280.06,Tamil Nadu
OD163,Amrish,163,Snacks,Chocolates,163,Trichy,11/16/2017,West,1004,0.26,341.36,Tamil Nadu
OD164,Hussain,164,Snacks,Cookies,164,Theni,11/7/2017,West,1516,0.32,121.28,Tamil Nadu
OD165,Haseena,165,Food Grains,Atta & Flour,165,Ramanadhapuram,9/8/2015,Central,1442,0.28,605.64,Tamil Nadu
OD166,Sudha,166,Beverages,Health Drinks,166,Madurai,9/8/2015,Central,1690,0.33,422.5,Tamil Nadu
OD167,Adavan,167,Snacks,Chocolates,167,Bodi,9/8/2015,Central,2021,0.13,343.57,Tamil Nadu
OD168,Aditi,168,"Eggs, Meat & Fish",Mutton,168,Ooty,9/8/2015,Central,2340,0.25,491.4,Tamil Nadu
OD169,Krithika,169,Oil & Masala,Spices,169,Viluppuram,9/8/2015,Central,705,0.15,176.25,Tamil Nadu
OD170,Sharon,170,"Eggs, Meat & Fish",Chicken,170,Trichy,9/8/2015,Central,1215,0.2,60.75,Tamil Nadu
OD171,Akash,171,Food Grains,Dals & Pulses,171,Krishnagiri,9/8/2015,Central,552,0.25,237.36,Tamil Nadu
OD172,Sabeela,172,Beverages,Health Drinks,172,Tirunelveli,8/5/2015,West,1412,0.11,564.8,Tamil Nadu
OD173,Surya,173,Food Grains,Dals & Pulses,173,Tirunelveli,8/5/2015,West,791,0.32,150.29,Tamil Nadu
OD174,Alan,174,Fruits & Veggies,Organic Vegetables,174,Viluppuram,8/5/2015,West,2476,0.33,420.92,Tamil Nadu
OD175,Aditi,175,Fruits & Veggies,Fresh Vegetables,175,Karur,9/14/2015,Central,1747,0.27,471.69,Tamil Nadu
OD176,Shah,176,Fruits & Veggies,Organic Fruits,176,Pudukottai,9/14/2015,Central,1973,0.15,848.39,Tamil Nadu
OD177,Mathew,177,Oil & Masala,Spices,177,Krishnagiri,4/21/2018,Central,2025,0.24,546.75,Tamil Nadu
OD178,Rumaiza,178,Snacks,Noodles,178,Vellore,11/21/2016,East,1016,0.29,223.52,Tamil Nadu
OD179,Arvind,179,Fruits & Veggies,Organic Fruits,179,Trichy,11/21/2016,East,689,0.3,55.12,Tamil Nadu
OD180,Krithika,180,Food Grains,Atta & Flour,180,Karur,12/15/2016,East,1322,0.16,343.72,Tamil Nadu
OD181,Arvind,181,Snacks,Cookies,181,Bodi,12/5/2015,Central,1605,0.25,433.35,Tamil Nadu
OD182,Ravi,182,Beverages,Health Drinks,182,Namakkal,12/5/2015,Central,1718,0.2,171.8,Tamil Nadu
OD183,Jonas,183,Oil & Masala,Edible Oil & Ghee,183,Madurai,11/19/2015,South,2177,0.35,783.72,Tamil Nadu
OD184,Surya,184,Food Grains,Organic Staples,184,Cumbum,11/19/2015,South,578,0.19,236.98,Tamil Nadu
OD185,Amrish,185,Food Grains,Dals & Pulses,185,Dindigul,11/19/2015,South,782,0.28,195.5,Tamil Nadu
OD186,Shah,186,Snacks,Noodles,186,Chennai,11/28/2017,East,1388,0.35,97.16,Tamil Nadu
OD187,Krithika,187,Bakery,Cakes,187,Cumbum,8/26/2015,West,2264,0.21,792.4,Tamil Nadu
OD188,Anu,188,Beverages,Soft Drinks,188,Pudukottai,7/16/2017,Central,813,0.16,138.21,Tamil Nadu
OD189,Yusuf,189,Fruits & Veggies,Organic Fruits,189,Madurai,7/16/2017,Central,2015,0.24,564.2,Tamil Nadu
OD190,Rumaiza,190,Beverages,Soft Drinks,190,Vellore,10/12/2016,East,1433,0.3,472.89,Tamil Nadu
OD191,Amrish,191,Fruits & Veggies,Organic Fruits,191,Chennai,10/12/2016,East,2093,0.11,334.88,Tamil Nadu
OD192,Muneer,192,Fruits & Veggies,Fresh Vegetables,192,Chennai,10/12/2016,East,2149,0.17,623.21,Tamil Nadu
OD193,Anu,193,Beverages,Health Drinks,193,Dharmapuri,10/12/2016,East,1972,0.32,414.12,Tamil Nadu
OD194,Suresh,194,Oil & Masala,Masalas,194,Dharmapuri,10/12/2016,East,2060,0.25,432.6,Tamil Nadu
OD195,Peer,195,"Eggs, Meat & Fish",Eggs,195,Tirunelveli,10/31/2016,West,1175,0.12,340.75,Tamil Nadu
OD196,Sundar,196,Oil & Masala,Edible Oil & Ghee,196,Theni,3/21/2015,East,1006,0.25,191.14,Tamil Nadu
OD197,Sudeep,197,Bakery,Breads & Buns,197,Karur,3/21/2015,East,1409,0.16,380.43,Tamil Nadu
OD198,Verma,198,Food Grains,Organic Staples,198,Pudukottai,11/6/2018,East,914,0.34,338.18,Tamil Nadu
OD199,Surya,199,"Eggs, Meat & Fish",Mutton,199,Tirunelveli,7/6/2018,East,1352,0.3,527.28,Tamil Nadu
OD200,Sudha,200,"Eggs, Meat & Fish",Eggs,200,Trichy,7/6/2018,East,682,0.25,170.5,Tamil Nadu
OD201,James,201,Food Grains,Organic Staples,201,Tirunelveli,6/24/2018,East,1738,0.22,243.32,Tamil Nadu
OD202,Vidya,202,Bakery,Cakes,202,Salem,8/3/2015,West,2421,0.25,484.2,Tamil Nadu
OD203,Jackson,203,Food Grains,Organic Staples,203,Ramanadhapuram,8/3/2015,West,2245,0.24,404.1,Tamil Nadu
OD204,Akash,204,Oil & Masala,Masalas,204,Vellore,12/17/2018,Central,896,0.12,295.68,Tamil Nadu
OD205,Ram,205,Oil & Masala,Spices,205,Virudhunagar,6/3/2018,South,1033,0.3,185.94,Tamil Nadu
OD206,Vinne,206,"Eggs, Meat & Fish",Mutton,206,Madurai,12/9/2018,West,1998,0.29,139.86,Tamil Nadu
OD207,Verma,207,"Eggs, Meat & Fish",Chicken,207,Perambalur,12/1/2018,Central,1469,0.15,646.36,Tamil Nadu
OD208,Haseena,208,"Eggs, Meat & Fish",Eggs,208,Ramanadhapuram,12/1/2018,Central,1899,0.25,360.81,Tamil Nadu
OD209,Esther,209,"Eggs, Meat & Fish",Mutton,209,Pudukottai,12/1/2018,Central,2194,0.2,153.58,Tamil Nadu
OD210,Amrish,210,Beverages,Soft Drinks,210,Vellore,12/1/2018,Central,1942,0.29,504.92,Tamil Nadu
OD211,Hafiz,211,Fruits & Veggies,Organic Vegetables,211,Kanyakumari,12/1/2018,Central,609,0.3,207.06,Tamil Nadu
OD212,Verma,212,"Eggs, Meat & Fish",Chicken,212,Trichy,2/9/2016,Central,2353,0.26,423.54,Tamil Nadu
OD213,Peer,213,Beverages,Soft Drinks,213,Salem,1/2/2016,East,1591,0.15,270.47,Tamil Nadu
OD214,Arutra,214,Food Grains,Rice,214,Krishnagiri,1/2/2016,East,1353,0.11,527.67,Tamil Nadu
OD215,Jonas,215,Beverages,Health Drinks,215,Namakkal,1/2/2016,East,1020,0.21,81.6,Tamil Nadu
OD216,Harish,216,Snacks,Noodles,216,Ramanadhapuram,1/2/2016,East,1362,0.31,177.06,Tamil Nadu
OD217,Sundar,217,Food Grains,Rice,217,Krishnagiri,1/2/2016,East,1733,0.31,433.25,Tamil Nadu
OD218,Suresh,218,Oil & Masala,Masalas,218,Tirunelveli,10/28/2017,West,1949,0.17,97.45,Tamil Nadu
OD219,Sabeela,219,Fruits & Veggies,Organic Fruits,219,Virudhunagar,10/28/2017,West,2368,0.34,876.16,Tamil Nadu
OD220,Arvind,220,Fruits & Veggies,Fresh Vegetables,220,Pudukottai,12/24/2016,East,2110,0.25,485.3,Tamil Nadu
